,Pick_up_hour,avg(Efficiency),min(Efficiency),max(Efficiency)
0,7,1.2910177124731452,1.000284981476204,29.999999999999993
1,15,1.2828960751564766,1.000284981476204,29.999999999999993
2,11,1.2792635216987889,1.0002545176889794,29.999999999999993
3,3,1.2636586966006398,1.0003368137420006,29.999999999999993
4,8,1.3082396433098693,1.0002874389192296,29.26829268292683
5,22,1.247609041853373,1.0002732987154959,29.09090909090909
6,16,1.2804181533261059,1.000292483182217,29.999999999999993
7,0,1.255583253472831,1.000314564328405,29.999999999999993
8,5,1.2813674576966343,1.0003705075954057,29.72972972972973
9,18,1.2687016136404536,1.0002506893958385,28.915662650602407
10,17,1.276490065335,1.0002083767451553,29.999999999999993
11,6,1.2784858198279179,1.0003437607425232,29.999999999999993
12,19,1.254531153517675,1.0001841959845275,29.999999999999993
13,23,1.2512972843706953,1.0002347969006808,29.999999999999993
14,9,1.2997429411561663,1.0003789314134142,29.999999999999993
15,1,1.2615073365001588,1.0001996406468356,29.999999999999993
16,20,1.2480740200869909,1.0002874389192296,29.411764705882355
17,10,1.288939371728252,1.000228362639872,29.714285714285715
18,4,1.2637215329928333,1.0003547357218872,29.50819672131147
19,12,1.269197303290955,1.0003206155819173,29.999999999999993
20,13,1.2708044893240893,1.000256476019492,29.702970297029704
21,14,1.274921959632961,1.0002525890376357,29.411764705882355
22,21,1.2474746483055277,1.0003206155819173,29.999999999999993
23,2,1.2635162358433343,1.0003334444814937,29.26829268292683
