,hour,not_tip,count(date)
0,19,False,431040
1,4,True,197307
2,8,False,226223
3,4,False,174256
4,8,True,432429
5,13,False,256472
6,21,True,779887
7,3,True,279524
8,7,False,178321
9,10,False,242844
10,13,True,359764
11,18,True,624132
12,12,False,246013
13,6,False,119930
14,3,False,202061
15,14,False,274044
16,17,True,472164
17,5,True,156660
18,18,False,382708
19,20,False,441064
20,7,True,343070
21,6,True,229958
22,9,False,241922
23,21,False,448710
24,11,False,241269
25,15,False,284400
26,1,False,329245
27,15,True,380900
28,11,True,373711
29,22,True,806912
30,0,False,398049
31,16,False,299550
32,5,False,108602
33,1,True,518310
34,22,False,450010
35,0,True,662840
36,23,False,436258
37,17,False,318067
38,9,True,471084
39,12,True,367056
40,16,True,419476
41,19,True,751663
42,20,True,760743
43,2,False,251746
44,10,True,410319
45,23,True,763142
46,2,True,382963
47,14,True,364342
