,year,month,count
0,2014,2,1005242
1,2014,11,1548159
2,2014,8,1344941
3,2014,5,1421503
4,2014,12,1645787
5,2015,11,1529984
6,2014,3,1293471
7,2014,6,1337759
8,2015,5,1786848
9,2014,7,1273973
10,2015,4,1664394
11,2016,6,1404726
12,2015,1,1508501
13,2015,8,1532343
14,2013,11,380974
15,2014,4,1309155
16,2013,8,7623
17,2014,10,1491266
18,2016,5,1536979
19,2014,9,1361893
20,2015,2,1574830
21,2015,3,1722574
22,2013,12,602559
23,2015,10,1630536
24,2016,3,1576393
25,2015,6,1638868
26,2015,9,1494926
27,2016,2,1510722
28,2015,12,1608290
29,2014,1,803852
30,2016,1,1445285
31,2013,10,170008
32,2016,4,1543925
33,2015,7,1541671
34,2013,9,49647
