,year,weekofday,count
0,2014,2,2116223
1,2014,5,2886558
2,2014,3,2166242
3,2013,6,167879
4,2014,6,2403479
5,2015,0,2225759
6,2015,5,3501733
7,2013,4,193146
8,2013,1,178079
9,2015,4,3054902
10,2016,6,1353629
11,2013,5,196647
12,2015,1,2291605
13,2014,4,2529861
14,2016,5,1603110
15,2013,3,166109
16,2015,2,2462354
17,2015,3,2739146
18,2016,3,1253641
19,2013,0,155476
20,2015,6,2958266
21,2016,2,1169721
22,2014,0,1832812
23,2014,1,1901826
24,2016,1,1106689
25,2013,2,153475
26,2016,4,1457947
27,2016,0,1073293
