,icon,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,fog,5948,0.2258736534754075,0.07757068384663364,0.0005555555555555556,0.9152542372881356
1,partly-cloudy-day,234168,0.21873301756859617,0.07671498498569013,0.00012578616352201257,0.9900990099009901
2,,90044,0.22450694865509574,0.07715094953525282,0.00017543859649122808,0.9851428571428571
3,clear-day,637357,0.21847325848128166,0.07682788930523661,0.00010256410256410257,0.9824561403508771
4,rain,138985,0.22465453760520507,0.07856858308838055,0.0002127659574468085,0.98
5,cloudy,138512,0.22697071708898992,0.07800809174015332,0.00023529411764705883,0.9803921568627451
6,clear-night,792115,0.23030085101452008,0.07752761302037758,9.80392156862745e-05,0.994095238095238
7,wind,172996,0.2261717676153321,0.07794752221036971,0.00010526315789473685,0.975609756097561
8,partly-cloudy-night,169060,0.2299170642850645,0.07740101758541079,0.00013513513513513514,0.9895238095238096
9,snow,28567,0.22450806381857144,0.07745273341345067,0.000392156862745098,0.9836065573770492
